,CAMBARI,CARRIZAL,HUACATA,INCAHUASI
2009-08-12 18:00:00,3.8484972875322585,3.5231421126216396,0.17461961536878218,31.313141751344748
2009-08-12 19:00:00,3.8484972875322585,3.5231421126216396,0.17461961536878218,31.313141751344748
2009-08-12 20:00:00,3.8484972875322585,3.5231421126216396,0.17461961536878218,31.313141751344748
2009-08-12 21:00:00,3.8484972875322585,3.5231421126216396,0.17461961536878218,31.313141751344748
2009-08-12 22:00:00,3.8484972875322585,3.5231421126216396,0.17461961536878218,31.313141751344748
2009-08-12 23:00:00,3.8484972875322585,3.5231421126216396,0.17461961536878218,31.313141751344748
2009-08-13 00:00:00,0.20179809232258064,1.3630317022859018,0.09190506072041167,12.535244943520787
2009-08-13 01:00:00,0.20179809232258064,1.3630317022859018,0.09190506072041167,12.535244943520787
2009-08-13 02:00:00,0.20179809232258064,1.3630317022859018,0.09190506072041167,12.535244943520787
2009-08-13 03:00:00,0.20179809232258064,1.3630317022859018,0.09190506072041167,12.535244943520787
2009-08-13 04:00:00,0.20179809232258064,1.3630317022859018,0.09190506072041167,12.535244943520787
2009-08-13 05:00:00,0.20179809232258064,1.3630317022859018,0.09190506072041167,12.535244943520787
2009-08-13 06:00:00,0.20179809232258064,1.3630317022859018,0.09190506072041167,12.535244943520787
2009-08-13 07:00:00,0.20179809232258064,1.3630317022859018,0.09190506072041167,12.535244943520787
2009-08-13 08:00:00,0.20179809232258064,1.3630317022859018,0.09190506072041167,12.535244943520787
2009-08-13 09:00:00,0.20179809232258064,1.3630317022859018,0.09190506072041167,12.535244943520787
2009-08-13 10:00:00,0.20179809232258064,1.3630317022859018,0.09190506072041167,12.535244943520787
2009-08-13 11:00:00,0.20179809232258064,1.3630317022859018,0.09190506072041167,12.535244943520787
2009-08-13 12:00:00,0.20179809232258064,1.3630317022859018,0.09190506072041167,12.535244943520787
2009-08-13 13:00:00,0.20179809232258064,1.3630317022859018,0.09190506072041167,12.535244943520787
2009-08-13 14:00:00,0.20179809232258064,1.3630317022859018,0.09190506072041167,12.535244943520787
2009-08-13 15:00:00,0.20179809232258064,1.3630317022859018,0.09190506072041167,12.535244943520787
2009-08-13 16:00:00,0.20179809232258064,1.3630317022859018,0.09190506072041167,12.535244943520787
2009-08-13 17:00:00,0.20179809232258064,1.3630317022859018,0.09190506072041167,12.535244943520787
2009-08-13 18:00:00,0.20179809232258064,1.3630317022859018,0.09190506072041167,12.535244943520787
2009-08-13 19:00:00,0.20179809232258064,1.3630317022859018,0.09190506072041167,12.535244943520787
2009-08-13 20:00:00,0.20179809232258064,1.3630317022859018,0.09190506072041167,12.535244943520787
2009-08-13 21:00:00,0.20179809232258064,1.3630317022859018,0.09190506072041167,12.535244943520787
2009-08-13 22:00:00,0.20179809232258064,1.3630317022859018,0.09190506072041167,12.535244943520787
2009-08-13 23:00:00,0.20179809232258064,1.3630317022859018,0.09190506072041167,12.535244943520787
2009-08-14 00:00:00,0.2003308802419355,1.3533167407081967,0.09190506072041167,12.445350756674818
2009-08-14 01:00:00,0.2003308802419355,1.3533167407081967,0.09190506072041167,12.445350756674818
2009-08-14 02:00:00,0.2003308802419355,1.3533167407081967,0.09190506072041167,12.445350756674818
2009-08-14 03:00:00,0.2003308802419355,1.3533167407081967,0.09190506072041167,12.445350756674818
2009-08-14 04:00:00,0.2003308802419355,1.3533167407081967,0.09190506072041167,12.445350756674818
2009-08-14 05:00:00,0.2003308802419355,1.3533167407081967,0.09190506072041167,12.445350756674818
2009-08-14 06:00:00,0.2003308802419355,1.3533167407081967,0.09190506072041167,12.445350756674818
2009-08-14 07:00:00,0.2003308802419355,1.3533167407081967,0.09190506072041167,12.445350756674818
2009-08-14 08:00:00,0.2003308802419355,1.3533167407081967,0.09190506072041167,12.445350756674818
2009-08-14 09:00:00,0.2003308802419355,1.3533167407081967,0.09190506072041167,12.445350756674818
2009-08-14 10:00:00,0.2003308802419355,1.3533167407081967,0.09190506072041167,12.445350756674818
2009-08-14 11:00:00,0.2003308802419355,1.3533167407081967,0.09190506072041167,12.445350756674818
2009-08-14 12:00:00,0.2003308802419355,1.3533167407081967,0.09190506072041167,12.445350756674818
2009-08-14 13:00:00,0.2003308802419355,1.3533167407081967,0.09190506072041167,12.445350756674818
2009-08-14 14:00:00,0.2003308802419355,1.3533167407081967,0.09190506072041167,12.445350756674818
2009-08-14 15:00:00,0.2003308802419355,1.3533167407081967,0.09190506072041167,12.445350756674818
2009-08-14 16:00:00,0.2003308802419355,1.3533167407081967,0.09190506072041167,12.445350756674818
2009-08-14 17:00:00,0.2003308802419355,1.3533167407081967,0.09190506072041167,12.445350756674818
2009-08-14 18:00:00,0.2003308802419355,1.3533167407081967,0.09190506072041167,12.445350756674818
2009-08-14 19:00:00,0.2003308802419355,1.3533167407081967,0.09190506072041167,12.445350756674818
2009-08-14 20:00:00,0.2003308802419355,1.3533167407081967,0.09190506072041167,12.445350756674818
2009-08-14 21:00:00,0.2003308802419355,1.3533167407081967,0.09190506072041167,12.445350756674818
2009-08-14 22:00:00,0.2003308802419355,1.3533167407081967,0.09190506072041167,12.445350756674818
2009-08-14 23:00:00,0.2003308802419355,1.3533167407081967,0.09190506072041167,12.445350756674818
2009-08-15 00:00:00,0.19897653062903228,1.343827708469508,0.09190506072041167,12.365444812811738
2009-08-15 01:00:00,0.19897653062903228,1.343827708469508,0.09190506072041167,12.365444812811738
2009-08-15 02:00:00,0.19897653062903228,1.343827708469508,0.09190506072041167,12.365444812811738
2009-08-15 03:00:00,0.19897653062903228,1.343827708469508,0.09190506072041167,12.365444812811738
2009-08-15 04:00:00,0.19897653062903228,1.343827708469508,0.09190506072041167,12.365444812811738
2009-08-15 05:00:00,0.19897653062903228,1.343827708469508,0.09190506072041167,12.365444812811738
2009-08-15 06:00:00,0.19897653062903228,1.343827708469508,0.09190506072041167,12.365444812811738
2009-08-15 07:00:00,0.19897653062903228,1.343827708469508,0.09190506072041167,12.365444812811738
2009-08-15 08:00:00,0.19897653062903228,1.343827708469508,0.09190506072041167,12.365444812811738
2009-08-15 09:00:00,0.19897653062903228,1.343827708469508,0.09190506072041167,12.365444812811738
2009-08-15 10:00:00,0.19897653062903228,1.343827708469508,0.09190506072041167,12.365444812811738
2009-08-15 11:00:00,0.19897653062903228,1.343827708469508,0.09190506072041167,12.365444812811738
2009-08-15 12:00:00,0.19897653062903228,1.343827708469508,0.09190506072041167,12.365444812811738
2009-08-15 13:00:00,0.19897653062903228,1.343827708469508,0.09190506072041167,12.365444812811738
2009-08-15 14:00:00,0.19897653062903228,1.343827708469508,0.09190506072041167,12.365444812811738
2009-08-15 15:00:00,0.19897653062903228,1.343827708469508,0.09190506072041167,12.365444812811738
2009-08-15 16:00:00,0.19897653062903228,1.343827708469508,0.09190506072041167,12.365444812811738
2009-08-15 17:00:00,0.19897653062903228,1.343827708469508,0.09190506072041167,12.365444812811738
2009-08-15 18:00:00,0.19897653062903228,1.343827708469508,0.09190506072041167,12.365444812811738
2009-08-15 19:00:00,0.19897653062903228,1.343827708469508,0.09190506072041167,12.365444812811738
2009-08-15 20:00:00,0.19897653062903228,1.343827708469508,0.09190506072041167,12.365444812811738
2009-08-15 21:00:00,0.19897653062903228,1.343827708469508,0.09190506072041167,12.365444812811738
2009-08-15 22:00:00,0.19897653062903228,1.343827708469508,0.09190506072041167,12.365444812811738
2009-08-15 23:00:00,0.19897653062903228,1.343827708469508,0.09190506072041167,12.365444812811738
2009-08-16 00:00:00,0.19762218101612905,1.3347905349088527,0.09190506072041167,12.285538868948658
2009-08-16 01:00:00,0.19762218101612905,1.3347905349088527,0.09190506072041167,12.285538868948658
2009-08-16 02:00:00,0.19762218101612905,1.3347905349088527,0.09190506072041167,12.285538868948658
2009-08-16 03:00:00,0.19762218101612905,1.3347905349088527,0.09190506072041167,12.285538868948658
2009-08-16 04:00:00,0.19762218101612905,1.3347905349088527,0.09190506072041167,12.285538868948658
2009-08-16 05:00:00,0.19762218101612905,1.3347905349088527,0.09190506072041167,12.285538868948658
2009-08-16 06:00:00,0.19762218101612905,1.3347905349088527,0.09190506072041167,12.285538868948658
2009-08-16 07:00:00,0.19762218101612905,1.3347905349088527,0.09190506072041167,12.285538868948658
2009-08-16 08:00:00,0.19762218101612905,1.3347905349088527,0.09190506072041167,12.285538868948658
2009-08-16 09:00:00,0.19762218101612905,1.3347905349088527,0.09190506072041167,12.285538868948658
2009-08-16 10:00:00,0.19762218101612905,1.3347905349088527,0.09190506072041167,12.285538868948658
2009-08-16 11:00:00,0.19762218101612905,1.3347905349088527,0.09190506072041167,12.285538868948658
2009-08-16 12:00:00,0.19762218101612905,1.3347905349088527,0.09190506072041167,12.285538868948658
2009-08-16 13:00:00,0.19762218101612905,1.3347905349088527,0.09190506072041167,12.285538868948658
2009-08-16 14:00:00,0.19762218101612905,1.3347905349088527,0.09190506072041167,12.285538868948658
2009-08-16 15:00:00,0.19762218101612905,1.3347905349088527,0.09190506072041167,12.285538868948658
2009-08-16 16:00:00,0.19762218101612905,1.3347905349088527,0.09190506072041167,12.285538868948658
2009-08-16 17:00:00,0.19762218101612905,1.3347905349088527,0.09190506072041167,12.285538868948658
2009-08-16 18:00:00,0.19762218101612905,1.3347905349088527,0.09190506072041167,12.285538868948658
2009-08-16 19:00:00,0.19762218101612905,1.3347905349088527,0.09190506072041167,12.285538868948658
2009-08-16 20:00:00,0.19762218101612905,1.3347905349088527,0.09190506072041167,12.285538868948658
2009-08-16 21:00:00,0.19762218101612905,1.3347905349088527,0.09190506072041167,12.285538868948658
2009-08-16 22:00:00,0.19762218101612905,1.3347905349088527,0.09190506072041167,12.285538868948658
2009-08-16 23:00:00,0.19762218101612905,1.3347905349088527,0.09190506072041167,12.285538868948658
2009-08-17 00:00:00,0.19626783140322582,1.3264311493652463,0.09190506072041167,12.205632925085578
2009-08-17 01:00:00,0.19626783140322582,1.3264311493652463,0.09190506072041167,12.205632925085578
2009-08-17 02:00:00,0.19626783140322582,1.3264311493652463,0.09190506072041167,12.205632925085578
2009-08-17 03:00:00,0.19626783140322582,1.3264311493652463,0.09190506072041167,12.205632925085578
2009-08-17 04:00:00,0.19626783140322582,1.3264311493652463,0.09190506072041167,12.205632925085578
2009-08-17 05:00:00,0.19626783140322582,1.3264311493652463,0.09190506072041167,12.205632925085578
2009-08-17 06:00:00,0.19626783140322582,1.3264311493652463,0.09190506072041167,12.205632925085578
2009-08-17 07:00:00,0.19626783140322582,1.3264311493652463,0.09190506072041167,12.205632925085578
2009-08-17 08:00:00,0.19626783140322582,1.3264311493652463,0.09190506072041167,12.205632925085578
2009-08-17 09:00:00,0.19626783140322582,1.3264311493652463,0.09190506072041167,12.205632925085578
2009-08-17 10:00:00,0.19626783140322582,1.3264311493652463,0.09190506072041167,12.205632925085578
2009-08-17 11:00:00,0.19626783140322582,1.3264311493652463,0.09190506072041167,12.205632925085578
2009-08-17 12:00:00,0.19626783140322582,1.3264311493652463,0.09190506072041167,12.205632925085578
2009-08-17 13:00:00,0.19626783140322582,1.3264311493652463,0.09190506072041167,12.205632925085578
2009-08-17 14:00:00,0.19626783140322582,1.3264311493652463,0.09190506072041167,12.205632925085578
2009-08-17 15:00:00,0.19626783140322582,1.3264311493652463,0.09190506072041167,12.205632925085578
2009-08-17 16:00:00,0.19626783140322582,1.3264311493652463,0.09190506072041167,12.205632925085578
2009-08-17 17:00:00,0.19626783140322582,1.3264311493652463,0.09190506072041167,12.205632925085578
2009-08-17 18:00:00,0.19626783140322582,1.3264311493652463,0.09190506072041167,12.205632925085578
2009-08-17 19:00:00,0.19626783140322582,1.3264311493652463,0.09190506072041167,12.205632925085578
2009-08-17 20:00:00,0.19626783140322582,1.3264311493652463,0.09190506072041167,12.205632925085578
2009-08-17 21:00:00,0.19626783140322582,1.3264311493652463,0.09190506072041167,12.205632925085578
2009-08-17 22:00:00,0.19626783140322582,1.3264311493652463,0.09190506072041167,12.205632925085578
2009-08-17 23:00:00,0.19626783140322582,1.3264311493652463,0.09190506072041167,12.205632925085578
2009-08-18 00:00:00,0.19513920672580645,1.3187495518386887,0.09190506072041167,12.135715224205379
2009-08-18 01:00:00,0.19513920672580645,1.3187495518386887,0.09190506072041167,12.135715224205379
2009-08-18 02:00:00,0.19513920672580645,1.3187495518386887,0.09190506072041167,12.135715224205379
2009-08-18 03:00:00,0.19513920672580645,1.3187495518386887,0.09190506072041167,12.135715224205379
2009-08-18 04:00:00,0.19513920672580645,1.3187495518386887,0.09190506072041167,12.135715224205379
2009-08-18 05:00:00,0.19513920672580645,1.3187495518386887,0.09190506072041167,12.135715224205379
2009-08-18 06:00:00,0.19513920672580645,1.3187495518386887,0.09190506072041167,12.135715224205379
2009-08-18 07:00:00,0.19513920672580645,1.3187495518386887,0.09190506072041167,12.135715224205379
2009-08-18 08:00:00,0.19513920672580645,1.3187495518386887,0.09190506072041167,12.135715224205379
2009-08-18 09:00:00,0.19513920672580645,1.3187495518386887,0.09190506072041167,12.135715224205379
2009-08-18 10:00:00,0.19513920672580645,1.3187495518386887,0.09190506072041167,12.135715224205379
2009-08-18 11:00:00,0.19513920672580645,1.3187495518386887,0.09190506072041167,12.135715224205379
2009-08-18 12:00:00,0.19513920672580645,1.3187495518386887,0.09190506072041167,12.135715224205379
2009-08-18 13:00:00,0.19513920672580645,1.3187495518386887,0.09190506072041167,12.135715224205379
2009-08-18 14:00:00,0.19513920672580645,1.3187495518386887,0.09190506072041167,12.135715224205379
2009-08-18 15:00:00,0.19513920672580645,1.3187495518386887,0.09190506072041167,12.135715224205379
2009-08-18 16:00:00,0.19513920672580645,1.3187495518386887,0.09190506072041167,12.135715224205379
2009-08-18 17:00:00,0.19513920672580645,1.3187495518386887,0.09190506072041167,12.135715224205379
2009-08-18 18:00:00,0.19513920672580645,1.3187495518386887,0.09190506072041167,12.135715224205379
2009-08-18 19:00:00,0.19513920672580645,1.3187495518386887,0.09190506072041167,12.135715224205379
2009-08-18 20:00:00,0.19513920672580645,1.3187495518386887,0.09190506072041167,12.135715224205379
2009-08-18 21:00:00,0.19513920672580645,1.3187495518386887,0.09190506072041167,12.135715224205379
2009-08-18 22:00:00,0.19513920672580645,1.3187495518386887,0.09190506072041167,12.135715224205379
2009-08-18 23:00:00,0.19513920672580645,1.3187495518386887,0.09190506072041167,12.135715224205379
2009-08-19 00:00:00,0.19401058204838711,1.3112938836511476,0.09190506072041167,12.065797523325184
2009-08-19 01:00:00,0.19401058204838711,1.3112938836511476,0.09190506072041167,12.065797523325184
2009-08-19 02:00:00,0.19401058204838711,1.3112938836511476,0.09190506072041167,12.065797523325184
2009-08-19 03:00:00,0.19401058204838711,1.3112938836511476,0.09190506072041167,12.065797523325184
2009-08-19 04:00:00,0.19401058204838711,1.3112938836511476,0.09190506072041167,12.065797523325184
2009-08-19 05:00:00,0.19401058204838711,1.3112938836511476,0.09190506072041167,12.065797523325184
2009-08-19 06:00:00,0.19401058204838711,1.3112938836511476,0.09190506072041167,12.065797523325184
2009-08-19 07:00:00,0.19401058204838711,1.3112938836511476,0.09190506072041167,12.065797523325184
2009-08-19 08:00:00,0.19401058204838711,1.3112938836511476,0.09190506072041167,12.065797523325184
2009-08-19 09:00:00,0.19401058204838711,1.3112938836511476,0.09190506072041167,12.065797523325184
2009-08-19 10:00:00,0.19401058204838711,1.3112938836511476,0.09190506072041167,12.065797523325184
2009-08-19 11:00:00,0.19401058204838711,1.3112938836511476,0.09190506072041167,12.065797523325184
2009-08-19 12:00:00,0.19401058204838711,1.3112938836511476,0.09190506072041167,12.065797523325184
2009-08-19 13:00:00,0.19401058204838711,1.3112938836511476,0.09190506072041167,12.065797523325184
2009-08-19 14:00:00,0.19401058204838711,1.3112938836511476,0.09190506072041167,12.065797523325184
2009-08-19 15:00:00,0.19401058204838711,1.3112938836511476,0.09190506072041167,12.065797523325184
2009-08-19 16:00:00,0.19401058204838711,1.3112938836511476,0.09190506072041167,12.065797523325184
2009-08-19 17:00:00,0.19401058204838711,1.3112938836511476,0.09190506072041167,12.065797523325184
2009-08-19 18:00:00,0.19401058204838711,1.3112938836511476,0.09190506072041167,12.065797523325184
2009-08-19 19:00:00,0.19401058204838711,1.3112938836511476,0.09190506072041167,12.065797523325184
2009-08-19 20:00:00,0.19401058204838711,1.3112938836511476,0.09190506072041167,12.065797523325184
2009-08-19 21:00:00,0.19401058204838711,1.3112938836511476,0.09190506072041167,12.065797523325184
