,CAMBARI,CARRIZAL,HUACATA,INCAHUASI
1993-08-05 04:00:00,0.5986225289032258,1.6660029459068852,0.09190506072041167,16.999989556870418
1993-08-05 05:00:00,0.5986225289032258,1.6660029459068852,0.09190506072041167,16.999989556870418
1993-08-05 06:00:00,0.5986225289032258,1.6660029459068852,0.09190506072041167,16.999989556870418
1993-08-05 07:00:00,0.5986225289032258,1.6660029459068852,0.09190506072041167,16.999989556870418
1993-08-05 08:00:00,0.5986225289032258,1.6660029459068852,0.09190506072041167,16.999989556870418
1993-08-05 09:00:00,0.5986225289032258,1.6660029459068852,0.09190506072041167,16.999989556870418
1993-08-05 10:00:00,0.5986225289032258,1.6660029459068852,0.09190506072041167,16.999989556870418
1993-08-05 11:00:00,0.5986225289032258,1.6660029459068852,0.09190506072041167,16.999989556870418
1993-08-05 12:00:00,0.5986225289032258,1.6660029459068852,0.09190506072041167,16.999989556870418
1993-08-05 13:00:00,0.5986225289032258,1.6660029459068852,0.09190506072041167,16.999989556870418
1993-08-05 14:00:00,0.5986225289032258,1.6660029459068852,0.09190506072041167,16.999989556870418
1993-08-05 15:00:00,0.5986225289032258,1.6660029459068852,0.09190506072041167,16.999989556870418
1993-08-05 16:00:00,0.5986225289032258,1.6660029459068852,0.09190506072041167,16.999989556870418
1993-08-05 17:00:00,0.5986225289032258,1.6660029459068852,0.09190506072041167,16.999989556870418
1993-08-05 18:00:00,0.5986225289032258,1.6660029459068852,0.09190506072041167,16.999989556870418
1993-08-05 19:00:00,0.5986225289032258,1.6660029459068852,0.09190506072041167,16.999989556870418
1993-08-05 20:00:00,0.5986225289032258,1.6660029459068852,0.09190506072041167,16.999989556870418
1993-08-05 21:00:00,0.5986225289032258,1.6660029459068852,0.09190506072041167,16.999989556870418
1993-08-05 22:00:00,0.5986225289032258,1.6660029459068852,0.09190506072041167,16.999989556870418
1993-08-05 23:00:00,0.5986225289032258,1.6660029459068852,0.09190506072041167,16.999989556870418
1993-08-06 00:00:00,0.22538634808064517,1.3228162799409835,0.09190506072041167,12.864856961955992
1993-08-06 01:00:00,0.22538634808064517,1.3228162799409835,0.09190506072041167,12.864856961955992
1993-08-06 02:00:00,0.22538634808064517,1.3228162799409835,0.09190506072041167,12.864856961955992
1993-08-06 03:00:00,0.22538634808064517,1.3228162799409835,0.09190506072041167,12.864856961955992
1993-08-06 04:00:00,0.22538634808064517,1.3228162799409835,0.09190506072041167,12.864856961955992
1993-08-06 05:00:00,0.22538634808064517,1.3228162799409835,0.09190506072041167,12.864856961955992
1993-08-06 06:00:00,0.22538634808064517,1.3228162799409835,0.09190506072041167,12.864856961955992
1993-08-06 07:00:00,0.22538634808064517,1.3228162799409835,0.09190506072041167,12.864856961955992
1993-08-06 08:00:00,0.22538634808064517,1.3228162799409835,0.09190506072041167,12.864856961955992
1993-08-06 09:00:00,0.22538634808064517,1.3228162799409835,0.09190506072041167,12.864856961955992
1993-08-06 10:00:00,0.22538634808064517,1.3228162799409835,0.09190506072041167,12.864856961955992
1993-08-06 11:00:00,0.22538634808064517,1.3228162799409835,0.09190506072041167,12.864856961955992
1993-08-06 12:00:00,0.22538634808064517,1.3228162799409835,0.09190506072041167,12.864856961955992
1993-08-06 13:00:00,0.22538634808064517,1.3228162799409835,0.09190506072041167,12.864856961955992
1993-08-06 14:00:00,0.22538634808064517,1.3228162799409835,0.09190506072041167,12.864856961955992
1993-08-06 15:00:00,0.22538634808064517,1.3228162799409835,0.09190506072041167,12.864856961955992
1993-08-06 16:00:00,0.22538634808064517,1.3228162799409835,0.09190506072041167,12.864856961955992
1993-08-06 17:00:00,0.22538634808064517,1.3228162799409835,0.09190506072041167,12.864856961955992
1993-08-06 18:00:00,0.22538634808064517,1.3228162799409835,0.09190506072041167,12.864856961955992
1993-08-06 19:00:00,0.22538634808064517,1.3228162799409835,0.09190506072041167,12.864856961955992
1993-08-06 20:00:00,0.22538634808064517,1.3228162799409835,0.09190506072041167,12.864856961955992
1993-08-06 21:00:00,0.22538634808064517,1.3228162799409835,0.09190506072041167,12.864856961955992
1993-08-06 22:00:00,0.22538634808064517,1.3228162799409835,0.09190506072041167,12.864856961955992
1993-08-06 23:00:00,0.22538634808064517,1.3228162799409835,0.09190506072041167,12.864856961955992
1993-08-07 00:00:00,0.2784317079193549,1.1549507810518034,0.09190506072041167,11.1169144399511
1993-08-07 01:00:00,0.2784317079193549,1.1549507810518034,0.09190506072041167,11.1169144399511
1993-08-07 02:00:00,0.2784317079193549,1.1549507810518034,0.09190506072041167,11.1169144399511
1993-08-07 03:00:00,0.2784317079193549,1.1549507810518034,0.09190506072041167,11.1169144399511
1993-08-07 04:00:00,0.2784317079193549,1.1549507810518034,0.09190506072041167,11.1169144399511
1993-08-07 05:00:00,0.2784317079193549,1.1549507810518034,0.09190506072041167,11.1169144399511
1993-08-07 06:00:00,0.2784317079193549,1.1549507810518034,0.09190506072041167,11.1169144399511
1993-08-07 07:00:00,0.2784317079193549,1.1549507810518034,0.09190506072041167,11.1169144399511
1993-08-07 08:00:00,0.2784317079193549,1.1549507810518034,0.09190506072041167,11.1169144399511
1993-08-07 09:00:00,0.2784317079193549,1.1549507810518034,0.09190506072041167,11.1169144399511
1993-08-07 10:00:00,0.2784317079193549,1.1549507810518034,0.09190506072041167,11.1169144399511
1993-08-07 11:00:00,0.2784317079193549,1.1549507810518034,0.09190506072041167,11.1169144399511
1993-08-07 12:00:00,0.2784317079193549,1.1549507810518034,0.09190506072041167,11.1169144399511
1993-08-07 13:00:00,0.2784317079193549,1.1549507810518034,0.09190506072041167,11.1169144399511
1993-08-07 14:00:00,0.2784317079193549,1.1549507810518034,0.09190506072041167,11.1169144399511
1993-08-07 15:00:00,0.2784317079193549,1.1549507810518034,0.09190506072041167,11.1169144399511
1993-08-07 16:00:00,0.2784317079193549,1.1549507810518034,0.09190506072041167,11.1169144399511
1993-08-07 17:00:00,0.2784317079193549,1.1549507810518034,0.09190506072041167,11.1169144399511
1993-08-07 18:00:00,0.2784317079193549,1.1549507810518034,0.09190506072041167,11.1169144399511
1993-08-07 19:00:00,0.2784317079193549,1.1549507810518034,0.09190506072041167,11.1169144399511
1993-08-07 20:00:00,0.2784317079193549,1.1549507810518034,0.09190506072041167,11.1169144399511
1993-08-07 21:00:00,0.2784317079193549,1.1549507810518034,0.09190506072041167,11.1169144399511
1993-08-07 22:00:00,0.2784317079193549,1.1549507810518034,0.09190506072041167,11.1169144399511
1993-08-07 23:00:00,0.2784317079193549,1.1549507810518034,0.09190506072041167,11.1169144399511
1993-08-08 00:00:00,0.183740097483871,1.0302377859147542,0.09190506072041167,9.838419338141811
1993-08-08 01:00:00,0.183740097483871,1.0302377859147542,0.09190506072041167,9.838419338141811
1993-08-08 02:00:00,0.183740097483871,1.0302377859147542,0.09190506072041167,9.838419338141811
1993-08-08 03:00:00,0.183740097483871,1.0302377859147542,0.09190506072041167,9.838419338141811
1993-08-08 04:00:00,0.183740097483871,1.0302377859147542,0.09190506072041167,9.838419338141811
1993-08-08 05:00:00,0.183740097483871,1.0302377859147542,0.09190506072041167,9.838419338141811
1993-08-08 06:00:00,0.183740097483871,1.0302377859147542,0.09190506072041167,9.838419338141811
1993-08-08 07:00:00,0.183740097483871,1.0302377859147542,0.09190506072041167,9.838419338141811
1993-08-08 08:00:00,0.183740097483871,1.0302377859147542,0.09190506072041167,9.838419338141811
1993-08-08 09:00:00,0.183740097483871,1.0302377859147542,0.09190506072041167,9.838419338141811
1993-08-08 10:00:00,0.183740097483871,1.0302377859147542,0.09190506072041167,9.838419338141811
1993-08-08 11:00:00,0.183740097483871,1.0302377859147542,0.09190506072041167,9.838419338141811
1993-08-08 12:00:00,0.183740097483871,1.0302377859147542,0.09190506072041167,9.838419338141811
1993-08-08 13:00:00,0.183740097483871,1.0302377859147542,0.09190506072041167,9.838419338141811
1993-08-08 14:00:00,0.183740097483871,1.0302377859147542,0.09190506072041167,9.838419338141811
1993-08-08 15:00:00,0.183740097483871,1.0302377859147542,0.09190506072041167,9.838419338141811
1993-08-08 16:00:00,0.183740097483871,1.0302377859147542,0.09190506072041167,9.838419338141811
1993-08-08 17:00:00,0.183740097483871,1.0302377859147542,0.09190506072041167,9.838419338141811
1993-08-08 18:00:00,0.183740097483871,1.0302377859147542,0.09190506072041167,9.838419338141811
1993-08-08 19:00:00,0.183740097483871,1.0302377859147542,0.09190506072041167,9.838419338141811
1993-08-08 20:00:00,0.183740097483871,1.0302377859147542,0.09190506072041167,9.838419338141811
1993-08-08 21:00:00,0.183740097483871,1.0302377859147542,0.09190506072041167,9.838419338141811
1993-08-08 22:00:00,0.183740097483871,1.0302377859147542,0.09190506072041167,9.838419338141811
1993-08-08 23:00:00,0.183740097483871,1.0302377859147542,0.09190506072041167,9.838419338141811
1993-08-09 00:00:00,0.1434481965,1.0494417797311477,0.09190506072041167,9.828431095158926
1993-08-09 01:00:00,0.1434481965,1.0494417797311477,0.09190506072041167,9.828431095158926
1993-08-09 02:00:00,0.1434481965,1.0494417797311477,0.09190506072041167,9.828431095158926
1993-08-09 03:00:00,0.1434481965,1.0494417797311477,0.09190506072041167,9.828431095158926
1993-08-09 04:00:00,0.1434481965,1.0494417797311477,0.09190506072041167,9.828431095158926
1993-08-09 05:00:00,0.1434481965,1.0494417797311477,0.09190506072041167,9.828431095158926
1993-08-09 06:00:00,0.1434481965,1.0494417797311477,0.09190506072041167,9.828431095158926
1993-08-09 07:00:00,0.1434481965,1.0494417797311477,0.09190506072041167,9.828431095158926
1993-08-09 08:00:00,0.1434481965,1.0494417797311477,0.09190506072041167,9.828431095158926
1993-08-09 09:00:00,0.1434481965,1.0494417797311477,0.09190506072041167,9.828431095158926
1993-08-09 10:00:00,0.1434481965,1.0494417797311477,0.09190506072041167,9.828431095158926
1993-08-09 11:00:00,0.1434481965,1.0494417797311477,0.09190506072041167,9.828431095158926
1993-08-09 12:00:00,0.1434481965,1.0494417797311477,0.09190506072041167,9.828431095158926
1993-08-09 13:00:00,0.1434481965,1.0494417797311477,0.09190506072041167,9.828431095158926
1993-08-09 14:00:00,0.1434481965,1.0494417797311477,0.09190506072041167,9.828431095158926
1993-08-09 15:00:00,0.1434481965,1.0494417797311477,0.09190506072041167,9.828431095158926
1993-08-09 16:00:00,0.1434481965,1.0494417797311477,0.09190506072041167,9.828431095158926
1993-08-09 17:00:00,0.1434481965,1.0494417797311477,0.09190506072041167,9.828431095158926
1993-08-09 18:00:00,0.1434481965,1.0494417797311477,0.09190506072041167,9.828431095158926
1993-08-09 19:00:00,0.1434481965,1.0494417797311477,0.09190506072041167,9.828431095158926
1993-08-09 20:00:00,0.1434481965,1.0494417797311477,0.09190506072041167,9.828431095158926
1993-08-09 21:00:00,0.1434481965,1.0494417797311477,0.09190506072041167,9.828431095158926
1993-08-09 22:00:00,0.1434481965,1.0494417797311477,0.09190506072041167,9.828431095158926
1993-08-09 23:00:00,0.1434481965,1.0494417797311477,0.09190506072041167,9.828431095158926
1993-08-10 00:00:00,0.17064805122580645,1.0614160346990165,0.09190506072041167,9.788478123227387
1993-08-10 01:00:00,0.17064805122580645,1.0614160346990165,0.09190506072041167,9.788478123227387
1993-08-10 02:00:00,0.17064805122580645,1.0614160346990165,0.09190506072041167,9.788478123227387
1993-08-10 03:00:00,0.17064805122580645,1.0614160346990165,0.09190506072041167,9.788478123227387
1993-08-10 04:00:00,0.17064805122580645,1.0614160346990165,0.09190506072041167,9.788478123227387
1993-08-10 05:00:00,0.17064805122580645,1.0614160346990165,0.09190506072041167,9.788478123227387
1993-08-10 06:00:00,0.17064805122580645,1.0614160346990165,0.09190506072041167,9.788478123227387
1993-08-10 07:00:00,0.17064805122580645,1.0614160346990165,0.09190506072041167,9.788478123227387
1993-08-10 08:00:00,0.17064805122580645,1.0614160346990165,0.09190506072041167,9.788478123227387
1993-08-10 09:00:00,0.17064805122580645,1.0614160346990165,0.09190506072041167,9.788478123227387
1993-08-10 10:00:00,0.17064805122580645,1.0614160346990165,0.09190506072041167,9.788478123227387
1993-08-10 11:00:00,0.17064805122580645,1.0614160346990165,0.09190506072041167,9.788478123227387
1993-08-10 12:00:00,0.17064805122580645,1.0614160346990165,0.09190506072041167,9.788478123227387
1993-08-10 13:00:00,0.17064805122580645,1.0614160346990165,0.09190506072041167,9.788478123227387
1993-08-10 14:00:00,0.17064805122580645,1.0614160346990165,0.09190506072041167,9.788478123227387
1993-08-10 15:00:00,0.17064805122580645,1.0614160346990165,0.09190506072041167,9.788478123227387
1993-08-10 16:00:00,0.17064805122580645,1.0614160346990165,0.09190506072041167,9.788478123227387
1993-08-10 17:00:00,0.17064805122580645,1.0614160346990165,0.09190506072041167,9.788478123227387
1993-08-10 18:00:00,0.17064805122580645,1.0614160346990165,0.09190506072041167,9.788478123227387
1993-08-10 19:00:00,0.17064805122580645,1.0614160346990165,0.09190506072041167,9.788478123227387
1993-08-10 20:00:00,0.17064805122580645,1.0614160346990165,0.09190506072041167,9.788478123227387
1993-08-10 21:00:00,0.17064805122580645,1.0614160346990165,0.09190506072041167,9.788478123227387
1993-08-10 22:00:00,0.17064805122580645,1.0614160346990165,0.09190506072041167,9.788478123227387
1993-08-10 23:00:00,0.17064805122580645,1.0614160346990165,0.09190506072041167,9.788478123227387
1993-08-11 00:00:00,0.4500955213548388,1.4547590139265574,0.09190506072041167,13.76379883041565
1993-08-11 01:00:00,0.4500955213548388,1.4547590139265574,0.09190506072041167,13.76379883041565
1993-08-11 02:00:00,0.4500955213548388,1.4547590139265574,0.09190506072041167,13.76379883041565
1993-08-11 03:00:00,0.4500955213548388,1.4547590139265574,0.09190506072041167,13.76379883041565
1993-08-11 04:00:00,0.4500955213548388,1.4547590139265574,0.09190506072041167,13.76379883041565
1993-08-11 05:00:00,0.4500955213548388,1.4547590139265574,0.09190506072041167,13.76379883041565
1993-08-11 06:00:00,0.4500955213548388,1.4547590139265574,0.09190506072041167,13.76379883041565
1993-08-11 07:00:00,0.4500955213548388,1.4547590139265574,0.09190506072041167,13.76379883041565
1993-08-11 08:00:00,0.4500955213548388,1.4547590139265574,0.09190506072041167,13.76379883041565
1993-08-11 09:00:00,0.4500955213548388,1.4547590139265574,0.09190506072041167,13.76379883041565
1993-08-11 10:00:00,0.4500955213548388,1.4547590139265574,0.09190506072041167,13.76379883041565
1993-08-11 11:00:00,0.4500955213548388,1.4547590139265574,0.09190506072041167,13.76379883041565
1993-08-11 12:00:00,0.4500955213548388,1.4547590139265574,0.09190506072041167,13.76379883041565
1993-08-11 13:00:00,0.4500955213548388,1.4547590139265574,0.09190506072041167,13.76379883041565
1993-08-11 14:00:00,0.4500955213548388,1.4547590139265574,0.09190506072041167,13.76379883041565
1993-08-11 15:00:00,0.4500955213548388,1.4547590139265574,0.09190506072041167,13.76379883041565
1993-08-11 16:00:00,0.4500955213548388,1.4547590139265574,0.09190506072041167,13.76379883041565
1993-08-11 17:00:00,0.4500955213548388,1.4547590139265574,0.09190506072041167,13.76379883041565
1993-08-11 18:00:00,0.4500955213548388,1.4547590139265574,0.09190506072041167,13.76379883041565
1993-08-11 19:00:00,0.4500955213548388,1.4547590139265574,0.09190506072041167,13.76379883041565
1993-08-11 20:00:00,0.4500955213548388,1.4547590139265574,0.09190506072041167,13.76379883041565
1993-08-11 21:00:00,0.4500955213548388,1.4547590139265574,0.09190506072041167,13.76379883041565
1993-08-11 22:00:00,0.4500955213548388,1.4547590139265574,0.09190506072041167,13.76379883041565
1993-08-11 23:00:00,0.4500955213548388,1.4547590139265574,0.09190506072041167,13.76379883041565
1993-08-12 00:00:00,0.7596772703709678,4.343717471929181,0.21138163965694678,37.935346848997554
1993-08-12 01:00:00,0.7596772703709678,4.343717471929181,0.21138163965694678,37.935346848997554
1993-08-12 02:00:00,0.7596772703709678,4.343717471929181,0.21138163965694678,37.935346848997554
1993-08-12 03:00:00,0.7596772703709678,4.343717471929181,0.21138163965694678,37.935346848997554
1993-08-12 04:00:00,0.7596772703709678,4.343717471929181,0.21138163965694678,37.935346848997554
1993-08-12 05:00:00,0.7596772703709678,4.343717471929181,0.21138163965694678,37.935346848997554
1993-08-12 06:00:00,0.7596772703709678,4.343717471929181,0.21138163965694678,37.935346848997554
1993-08-12 07:00:00,0.7596772703709678,4.343717471929181,0.21138163965694678,37.935346848997554
1993-08-12 08:00:00,0.7596772703709678,4.343717471929181,0.21138163965694678,37.935346848997554
1993-08-12 09:00:00,0.7596772703709678,4.343717471929181,0.21138163965694678,37.935346848997554
1993-08-12 10:00:00,0.7596772703709678,4.343717471929181,0.21138163965694678,37.935346848997554
