,CAMBARI,CARRIZAL,HUACATA,INCAHUASI
1992-08-30 02:00:00,0.1780969740967742,0.8693760965350819,0.09190506072041167,8.240300460880198
1992-08-30 03:00:00,0.1780969740967742,0.8693760965350819,0.09190506072041167,8.240300460880198
1992-08-30 04:00:00,0.1780969740967742,0.8693760965350819,0.09190506072041167,8.240300460880198
1992-08-30 05:00:00,0.1780969740967742,0.8693760965350819,0.09190506072041167,8.240300460880198
1992-08-30 06:00:00,0.1780969740967742,0.8693760965350819,0.09190506072041167,8.240300460880198
1992-08-30 07:00:00,0.1780969740967742,0.8693760965350819,0.09190506072041167,8.240300460880198
1992-08-30 08:00:00,0.1780969740967742,0.8693760965350819,0.09190506072041167,8.240300460880198
1992-08-30 09:00:00,0.1780969740967742,0.8693760965350819,0.09190506072041167,8.240300460880198
1992-08-30 10:00:00,0.1780969740967742,0.8693760965350819,0.09190506072041167,8.240300460880198
1992-08-30 11:00:00,0.1780969740967742,0.8693760965350819,0.09190506072041167,8.240300460880198
1992-08-30 12:00:00,0.1780969740967742,0.8693760965350819,0.09190506072041167,8.240300460880198
1992-08-30 13:00:00,0.1780969740967742,0.8693760965350819,0.09190506072041167,8.240300460880198
1992-08-30 14:00:00,0.1780969740967742,0.8693760965350819,0.09190506072041167,8.240300460880198
1992-08-30 15:00:00,0.1780969740967742,0.8693760965350819,0.09190506072041167,8.240300460880198
1992-08-30 16:00:00,0.1780969740967742,0.8693760965350819,0.09190506072041167,8.240300460880198
1992-08-30 17:00:00,0.1780969740967742,0.8693760965350819,0.09190506072041167,8.240300460880198
1992-08-30 18:00:00,0.1780969740967742,0.8693760965350819,0.09190506072041167,8.240300460880198
1992-08-30 19:00:00,0.1780969740967742,0.8693760965350819,0.09190506072041167,8.240300460880198
1992-08-30 20:00:00,0.1780969740967742,0.8693760965350819,0.09190506072041167,8.240300460880198
1992-08-30 21:00:00,0.1780969740967742,0.8693760965350819,0.09190506072041167,8.240300460880198
1992-08-30 22:00:00,0.1780969740967742,0.8693760965350819,0.09190506072041167,8.240300460880198
1992-08-30 23:00:00,0.1780969740967742,0.8693760965350819,0.09190506072041167,8.240300460880198
1992-08-31 00:00:00,0.17527541240322578,0.8644056510767214,0.09190506072041167,8.190359245965771
1992-08-31 01:00:00,0.17527541240322578,0.8644056510767214,0.09190506072041167,8.190359245965771
1992-08-31 02:00:00,0.17527541240322578,0.8644056510767214,0.09190506072041167,8.190359245965771
1992-08-31 03:00:00,0.17527541240322578,0.8644056510767214,0.09190506072041167,8.190359245965771
1992-08-31 04:00:00,0.17527541240322578,0.8644056510767214,0.09190506072041167,8.190359245965771
1992-08-31 05:00:00,0.17527541240322578,0.8644056510767214,0.09190506072041167,8.190359245965771
1992-08-31 06:00:00,0.17527541240322578,0.8644056510767214,0.09190506072041167,8.190359245965771
1992-08-31 07:00:00,0.17527541240322578,0.8644056510767214,0.09190506072041167,8.190359245965771
1992-08-31 08:00:00,0.17527541240322578,0.8644056510767214,0.09190506072041167,8.190359245965771
1992-08-31 09:00:00,0.17527541240322578,0.8644056510767214,0.09190506072041167,8.190359245965771
1992-08-31 10:00:00,0.17527541240322578,0.8644056510767214,0.09190506072041167,8.190359245965771
1992-08-31 11:00:00,0.17527541240322578,0.8644056510767214,0.09190506072041167,8.190359245965771
1992-08-31 12:00:00,0.17527541240322578,0.8644056510767214,0.09190506072041167,8.190359245965771
1992-08-31 13:00:00,0.17527541240322578,0.8644056510767214,0.09190506072041167,8.190359245965771
1992-08-31 14:00:00,0.17527541240322578,0.8644056510767214,0.09190506072041167,8.190359245965771
1992-08-31 15:00:00,0.17527541240322578,0.8644056510767214,0.09190506072041167,8.190359245965771
1992-08-31 16:00:00,0.17527541240322578,0.8644056510767214,0.09190506072041167,8.190359245965771
1992-08-31 17:00:00,0.17527541240322578,0.8644056510767214,0.09190506072041167,8.190359245965771
1992-08-31 18:00:00,0.17527541240322578,0.8644056510767214,0.09190506072041167,8.190359245965771
1992-08-31 19:00:00,0.17527541240322578,0.8644056510767214,0.09190506072041167,8.190359245965771
1992-08-31 20:00:00,0.17527541240322578,0.8644056510767214,0.09190506072041167,8.190359245965771
1992-08-31 21:00:00,0.17527541240322578,0.8644056510767214,0.09190506072041167,8.190359245965771
1992-08-31 22:00:00,0.17527541240322578,0.8644056510767214,0.09190506072041167,8.190359245965771
1992-08-31 23:00:00,0.17527541240322578,0.8644056510767214,0.09190506072041167,8.190359245965771
1992-09-01 00:00:00,7.3965546859354845,8.206657310431476,0.441144291457976,78.9670490226895
1992-09-01 01:00:00,7.3965546859354845,8.206657310431476,0.441144291457976,78.9670490226895
1992-09-01 02:00:00,7.3965546859354845,8.206657310431476,0.441144291457976,78.9670490226895
1992-09-01 03:00:00,7.3965546859354845,8.206657310431476,0.441144291457976,78.9670490226895
1992-09-01 04:00:00,7.3965546859354845,8.206657310431476,0.441144291457976,78.9670490226895
1992-09-01 05:00:00,7.3965546859354845,8.206657310431476,0.441144291457976,78.9670490226895
1992-09-01 06:00:00,7.3965546859354845,8.206657310431476,0.441144291457976,78.9670490226895
1992-09-01 07:00:00,7.3965546859354845,8.206657310431476,0.441144291457976,78.9670490226895
1992-09-01 08:00:00,7.3965546859354845,8.206657310431476,0.441144291457976,78.9670490226895
1992-09-01 09:00:00,7.3965546859354845,8.206657310431476,0.441144291457976,78.9670490226895
1992-09-01 10:00:00,7.3965546859354845,8.206657310431476,0.441144291457976,78.9670490226895
1992-09-01 11:00:00,7.3965546859354845,8.206657310431476,0.441144291457976,78.9670490226895
1992-09-01 12:00:00,7.3965546859354845,8.206657310431476,0.441144291457976,78.9670490226895
1992-09-01 13:00:00,7.3965546859354845,8.206657310431476,0.441144291457976,78.9670490226895
1992-09-01 14:00:00,7.3965546859354845,8.206657310431476,0.441144291457976,78.9670490226895
1992-09-01 15:00:00,7.3965546859354845,8.206657310431476,0.441144291457976,78.9670490226895
1992-09-01 16:00:00,7.3965546859354845,8.206657310431476,0.441144291457976,78.9670490226895
1992-09-01 17:00:00,7.3965546859354845,8.206657310431476,0.441144291457976,78.9670490226895
1992-09-01 18:00:00,7.3965546859354845,8.206657310431476,0.441144291457976,78.9670490226895
1992-09-01 19:00:00,7.3965546859354845,8.206657310431476,0.441144291457976,78.9670490226895
1992-09-01 20:00:00,7.3965546859354845,8.206657310431476,0.441144291457976,78.9670490226895
1992-09-01 21:00:00,7.3965546859354845,8.206657310431476,0.441144291457976,78.9670490226895
1992-09-01 22:00:00,7.3965546859354845,8.206657310431476,0.441144291457976,78.9670490226895
1992-09-01 23:00:00,7.3965546859354845,8.206657310431476,0.441144291457976,78.9670490226895
1992-09-02 00:00:00,3.096043215096774,7.567955069032133,0.42276327931389357,74.89184588567238
1992-09-02 01:00:00,3.096043215096774,7.567955069032133,0.42276327931389357,74.89184588567238
1992-09-02 02:00:00,3.096043215096774,7.567955069032133,0.42276327931389357,74.89184588567238
1992-09-02 03:00:00,3.096043215096774,7.567955069032133,0.42276327931389357,74.89184588567238
1992-09-02 04:00:00,3.096043215096774,7.567955069032133,0.42276327931389357,74.89184588567238
1992-09-02 05:00:00,3.096043215096774,7.567955069032133,0.42276327931389357,74.89184588567238
1992-09-02 06:00:00,3.096043215096774,7.567955069032133,0.42276327931389357,74.89184588567238
1992-09-02 07:00:00,3.096043215096774,7.567955069032133,0.42276327931389357,74.89184588567238
1992-09-02 08:00:00,3.096043215096774,7.567955069032133,0.42276327931389357,74.89184588567238
1992-09-02 09:00:00,3.096043215096774,7.567955069032133,0.42276327931389357,74.89184588567238
1992-09-02 10:00:00,3.096043215096774,7.567955069032133,0.42276327931389357,74.89184588567238
1992-09-02 11:00:00,3.096043215096774,7.567955069032133,0.42276327931389357,74.89184588567238
1992-09-02 12:00:00,3.096043215096774,7.567955069032133,0.42276327931389357,74.89184588567238
1992-09-02 13:00:00,3.096043215096774,7.567955069032133,0.42276327931389357,74.89184588567238
1992-09-02 14:00:00,3.096043215096774,7.567955069032133,0.42276327931389357,74.89184588567238
1992-09-02 15:00:00,3.096043215096774,7.567955069032133,0.42276327931389357,74.89184588567238
1992-09-02 16:00:00,3.096043215096774,7.567955069032133,0.42276327931389357,74.89184588567238
1992-09-02 17:00:00,3.096043215096774,7.567955069032133,0.42276327931389357,74.89184588567238
1992-09-02 18:00:00,3.096043215096774,7.567955069032133,0.42276327931389357,74.89184588567238
1992-09-02 19:00:00,3.096043215096774,7.567955069032133,0.42276327931389357,74.89184588567238
1992-09-02 20:00:00,3.096043215096774,7.567955069032133,0.42276327931389357,74.89184588567238
1992-09-02 21:00:00,3.096043215096774,7.567955069032133,0.42276327931389357,74.89184588567238
1992-09-02 22:00:00,3.096043215096774,7.567955069032133,0.42276327931389357,74.89184588567238
1992-09-02 23:00:00,3.096043215096774,7.567955069032133,0.42276327931389357,74.89184588567238
1992-09-03 00:00:00,2.3784636451935484,7.420649139993443,0.38600125502572896,69.75788899246945
1992-09-03 01:00:00,2.3784636451935484,7.420649139993443,0.38600125502572896,69.75788899246945
1992-09-03 02:00:00,2.3784636451935484,7.420649139993443,0.38600125502572896,69.75788899246945
1992-09-03 03:00:00,2.3784636451935484,7.420649139993443,0.38600125502572896,69.75788899246945
1992-09-03 04:00:00,2.3784636451935484,7.420649139993443,0.38600125502572896,69.75788899246945
1992-09-03 05:00:00,2.3784636451935484,7.420649139993443,0.38600125502572896,69.75788899246945
1992-09-03 06:00:00,2.3784636451935484,7.420649139993443,0.38600125502572896,69.75788899246945
1992-09-03 07:00:00,2.3784636451935484,7.420649139993443,0.38600125502572896,69.75788899246945
1992-09-03 08:00:00,2.3784636451935484,7.420649139993443,0.38600125502572896,69.75788899246945
1992-09-03 09:00:00,2.3784636451935484,7.420649139993443,0.38600125502572896,69.75788899246945
1992-09-03 10:00:00,2.3784636451935484,7.420649139993443,0.38600125502572896,69.75788899246945
1992-09-03 11:00:00,2.3784636451935484,7.420649139993443,0.38600125502572896,69.75788899246945
1992-09-03 12:00:00,2.3784636451935484,7.420649139993443,0.38600125502572896,69.75788899246945
1992-09-03 13:00:00,2.3784636451935484,7.420649139993443,0.38600125502572896,69.75788899246945
1992-09-03 14:00:00,2.3784636451935484,7.420649139993443,0.38600125502572896,69.75788899246945
1992-09-03 15:00:00,2.3784636451935484,7.420649139993443,0.38600125502572896,69.75788899246945
1992-09-03 16:00:00,2.3784636451935484,7.420649139993443,0.38600125502572896,69.75788899246945
1992-09-03 17:00:00,2.3784636451935484,7.420649139993443,0.38600125502572896,69.75788899246945
1992-09-03 18:00:00,2.3784636451935484,7.420649139993443,0.38600125502572896,69.75788899246945
1992-09-03 19:00:00,2.3784636451935484,7.420649139993443,0.38600125502572896,69.75788899246945
1992-09-03 20:00:00,2.3784636451935484,7.420649139993443,0.38600125502572896,69.75788899246945
1992-09-03 21:00:00,2.3784636451935484,7.420649139993443,0.38600125502572896,69.75788899246945
1992-09-03 22:00:00,2.3784636451935484,7.420649139993443,0.38600125502572896,69.75788899246945
1992-09-03 23:00:00,2.3784636451935484,7.420649139993443,0.38600125502572896,69.75788899246945
1992-09-04 00:00:00,0.7830398011935484,1.6578694897022952,0.09190506072041167,16.450636192811736
1992-09-04 01:00:00,0.7830398011935484,1.6578694897022952,0.09190506072041167,16.450636192811736
1992-09-04 02:00:00,0.7830398011935484,1.6578694897022952,0.09190506072041167,16.450636192811736
1992-09-04 03:00:00,0.7830398011935484,1.6578694897022952,0.09190506072041167,16.450636192811736
1992-09-04 04:00:00,0.7830398011935484,1.6578694897022952,0.09190506072041167,16.450636192811736
1992-09-04 05:00:00,0.7830398011935484,1.6578694897022952,0.09190506072041167,16.450636192811736
1992-09-04 06:00:00,0.7830398011935484,1.6578694897022952,0.09190506072041167,16.450636192811736
1992-09-04 07:00:00,0.7830398011935484,1.6578694897022952,0.09190506072041167,16.450636192811736
1992-09-04 08:00:00,0.7830398011935484,1.6578694897022952,0.09190506072041167,16.450636192811736
1992-09-04 09:00:00,0.7830398011935484,1.6578694897022952,0.09190506072041167,16.450636192811736
1992-09-04 10:00:00,0.7830398011935484,1.6578694897022952,0.09190506072041167,16.450636192811736
1992-09-04 11:00:00,0.7830398011935484,1.6578694897022952,0.09190506072041167,16.450636192811736
1992-09-04 12:00:00,0.7830398011935484,1.6578694897022952,0.09190506072041167,16.450636192811736
1992-09-04 13:00:00,0.7830398011935484,1.6578694897022952,0.09190506072041167,16.450636192811736
1992-09-04 14:00:00,0.7830398011935484,1.6578694897022952,0.09190506072041167,16.450636192811736
1992-09-04 15:00:00,0.7830398011935484,1.6578694897022952,0.09190506072041167,16.450636192811736
1992-09-04 16:00:00,0.7830398011935484,1.6578694897022952,0.09190506072041167,16.450636192811736
1992-09-04 17:00:00,0.7830398011935484,1.6578694897022952,0.09190506072041167,16.450636192811736
1992-09-04 18:00:00,0.7830398011935484,1.6578694897022952,0.09190506072041167,16.450636192811736
1992-09-04 19:00:00,0.7830398011935484,1.6578694897022952,0.09190506072041167,16.450636192811736
1992-09-04 20:00:00,0.7830398011935484,1.6578694897022952,0.09190506072041167,16.450636192811736
1992-09-04 21:00:00,0.7830398011935484,1.6578694897022952,0.09190506072041167,16.450636192811736
1992-09-04 22:00:00,0.7830398011935484,1.6578694897022952,0.09190506072041167,16.450636192811736
1992-09-04 23:00:00,0.7830398011935484,1.6578694897022952,0.09190506072041167,16.450636192811736
1992-09-05 00:00:00,0.42470146611290327,1.310390166295082,0.09190506072041167,12.82490399002445
1992-09-05 01:00:00,0.42470146611290327,1.310390166295082,0.09190506072041167,12.82490399002445
1992-09-05 02:00:00,0.42470146611290327,1.310390166295082,0.09190506072041167,12.82490399002445
1992-09-05 03:00:00,0.42470146611290327,1.310390166295082,0.09190506072041167,12.82490399002445
1992-09-05 04:00:00,0.42470146611290327,1.310390166295082,0.09190506072041167,12.82490399002445
1992-09-05 05:00:00,0.42470146611290327,1.310390166295082,0.09190506072041167,12.82490399002445
1992-09-05 06:00:00,0.42470146611290327,1.310390166295082,0.09190506072041167,12.82490399002445
1992-09-05 07:00:00,0.42470146611290327,1.310390166295082,0.09190506072041167,12.82490399002445
1992-09-05 08:00:00,0.42470146611290327,1.310390166295082,0.09190506072041167,12.82490399002445
1992-09-05 09:00:00,0.42470146611290327,1.310390166295082,0.09190506072041167,12.82490399002445
1992-09-05 10:00:00,0.42470146611290327,1.310390166295082,0.09190506072041167,12.82490399002445
1992-09-05 11:00:00,0.42470146611290327,1.310390166295082,0.09190506072041167,12.82490399002445
1992-09-05 12:00:00,0.42470146611290327,1.310390166295082,0.09190506072041167,12.82490399002445
1992-09-05 13:00:00,0.42470146611290327,1.310390166295082,0.09190506072041167,12.82490399002445
1992-09-05 14:00:00,0.42470146611290327,1.310390166295082,0.09190506072041167,12.82490399002445
1992-09-05 15:00:00,0.42470146611290327,1.310390166295082,0.09190506072041167,12.82490399002445
1992-09-05 16:00:00,0.42470146611290327,1.310390166295082,0.09190506072041167,12.82490399002445
1992-09-05 17:00:00,0.42470146611290327,1.310390166295082,0.09190506072041167,12.82490399002445
1992-09-05 18:00:00,0.42470146611290327,1.310390166295082,0.09190506072041167,12.82490399002445
1992-09-05 19:00:00,0.42470146611290327,1.310390166295082,0.09190506072041167,12.82490399002445
1992-09-05 20:00:00,0.42470146611290327,1.310390166295082,0.09190506072041167,12.82490399002445
1992-09-05 21:00:00,0.42470146611290327,1.310390166295082,0.09190506072041167,12.82490399002445
1992-09-05 22:00:00,0.42470146611290327,1.310390166295082,0.09190506072041167,12.82490399002445
1992-09-05 23:00:00,0.42470146611290327,1.310390166295082,0.09190506072041167,12.82490399002445
1992-09-06 00:00:00,0.25822932619354844,1.1352949285573772,0.09190506072041167,11.007043767139361
1992-09-06 01:00:00,0.25822932619354844,1.1352949285573772,0.09190506072041167,11.007043767139361
1992-09-06 02:00:00,0.25822932619354844,1.1352949285573772,0.09190506072041167,11.007043767139361
1992-09-06 03:00:00,0.25822932619354844,1.1352949285573772,0.09190506072041167,11.007043767139361
1992-09-06 04:00:00,0.25822932619354844,1.1352949285573772,0.09190506072041167,11.007043767139361
1992-09-06 05:00:00,0.25822932619354844,1.1352949285573772,0.09190506072041167,11.007043767139361
1992-09-06 06:00:00,0.25822932619354844,1.1352949285573772,0.09190506072041167,11.007043767139361
1992-09-06 07:00:00,0.25822932619354844,1.1352949285573772,0.09190506072041167,11.007043767139361
1992-09-06 08:00:00,0.25822932619354844,1.1352949285573772,0.09190506072041167,11.007043767139361
1992-09-06 09:00:00,0.25822932619354844,1.1352949285573772,0.09190506072041167,11.007043767139361
1992-09-06 10:00:00,0.25822932619354844,1.1352949285573772,0.09190506072041167,11.007043767139361
